t,y,y_4,y_3,y_2,-x_4,-x3
0,0,0,0,0,0,0
0.01,3.99E-05,4.99E-12,9.99E-10,2.00E-07,-1.54E-06,-0.0003081
0.02,0.0014363,2.10E-10,3.99E-08,7.58E-06,-1.18E-05,-0.0017384
0.03,0.038097,5.93E-09,1.10E-06,0.00020525,-4.75E-05,-0.0053993
0.04,0.30119,6.96E-08,1.16E-05,0.0019017,-0.0001368,-0.012469
0.05,2.6558,6.51E-07,0.00010458,0.016686,-0.00031938,-0.024047
0.06,10.185,4.14E-06,0.00059246,0.080889,-0.00064532,-0.04114
0.07,26.083,1.86E-05,0.002308,0.26223,-0.0011742,-0.064644
0.08,52.545,6.47E-05,0.006896,0.65537,-0.001974,-0.095301
0.09,90.487,0.00018427,0.017026,1.3705,-0.0031191,-0.13374
0.1,139.65,0.00045182,0.036484,2.5212,-0.0046906,-0.18055
0.11,198.48,0.00098499,0.07015,4.2119,-0.0067748,-0.2363
0.12,264.21,0.0019549,0.12384,6.5254,-0.0094637,-0.30146
0.13,333.59,0.0035943,0.20403,9.5144,-0.012853,-0.37647
0.14,403.31,0.0062025,0.3176,13.199,-0.017044,-0.46174
0.15,469.92,0.010148,0.47142,17.565,-0.022141,-0.55763
0.16,530.27,0.015865,0.67207,22.566,-0.028251,-0.66439
0.17,581.85,0.023853,0.92554,28.127,-0.035485,-0.78227
0.18,622.86,0.034665,1.2369,34.15,-0.043953,-0.91143
0.19,652.14,0.048901,1.6103,40.525,-0.05377,-1.052
0.2,669.31,0.067196,2.0486,47.132,-0.065051,-1.2041
0.21,674.78,0.090206,2.5535,53.853,-0.07791,-1.3677
0.22,669.61,0.1186,3.1256,60.575,-0.092464,-1.543
0.23,655.58,0.15305,3.7645,67.201,-0.10883,-1.73
0.24,634.93,0.19422,4.4688,73.653,-0.12712,-1.9286
0.25,610.07,0.24275,5.2365,79.878,-0.14746,-2.1388
0.26,583.5,0.29925,6.0651,85.846,-0.16995,-2.3606
0.27,557.68,0.36434,6.9521,91.552,-0.19473,-2.5939
0.28,534.84,0.43857,7.8949,97.015,-0.22189,-2.8388
0.29,516.57,0.5225,8.8913,102.27,-0.25156,-3.095
0.3,504.01,0.61666,9.9396,107.37,-0.28385,-3.3627
0.31,497.87,0.72155,11.038,112.38,-0.31887,-3.6416
0.32,498.15,0.83768,12.187,117.36,-0.35674,-3.9318
0.33,504.44,0.96554,13.386,122.38,-0.39756,-4.2332
0.34,515.93,1.1056,14.635,127.48,-0.44146,-4.5456
0.35,531.33,1.2585,15.936,132.72,-0.48853,-4.869
0.36,549.07,1.4246,17.29,138.12,-0.53889,-5.2034
0.37,567.6,1.6046,18.699,143.7,-0.59265,-5.5487
0.38,585.4,1.7989,20.165,149.47,-0.64992,-5.9048
0.39,601.07,2.0082,21.689,155.4,-0.7108,-6.2716
0.4,613.59,2.233,23.274,161.47,-0.7754,-6.6492
0.41,622.17,2.474,24.919,167.65,-0.84384,-7.0374
0.42,626.23,2.7317,26.627,173.89,-0.9162,-7.4362
0.43,625.73,3.0068,28.397,180.15,-0.99261,-7.8456
0.44,621.05,3.2999,30.23,186.39,-1.0732,-8.2655
0.45,612.77,3.6117,32.125,192.55,-1.158,-8.6959
0.46,601.75,3.9427,34.081,198.63,-1.2471,-9.1367
0.47,589,4.2936,36.097,204.58,-1.3408,-9.5878
0.48,575.57,4.665,38.172,210.4,-1.4389,-10.049
0.49,562.4,5.0574,40.304,216.09,-1.5418,-10.521
0.5,550.56,5.4713,42.493,221.66,-1.6494,-11.003
0.51,540.9,5.9075,44.737,227.12,-1.7619,-11.496
0.52,533.98,6.3663,47.035,232.49,-1.8794,-11.998
0.53,530.26,6.8484,49.386,237.81,-2.0019,-12.511
0.54,529.81,7.3543,51.791,243.11,-2.1297,-13.035
0.55,532.36,7.8845,54.249,248.42,-2.2627,-13.568
0.56,537.58,8.4396,56.76,253.77,-2.4011,-14.111
0.57,545,9.02,59.324,259.19,-2.545,-14.665
0.58,553.97,9.6263,61.944,264.68,-2.6944,-15.229
0.59,563.8,10.259,64.618,270.27,-2.8496,-15.803
0.6,573.76,10.919,67.35,275.96,-3.0106,-16.388
0.61,583.08,11.606,70.138,281.74,-3.1774,-16.982
0.62,591.09,12.322,72.985,287.61,-3.3502,-17.587
0.63,597.35,13.066,75.891,293.55,-3.5292,-18.202
0.64,601.57,13.84,78.856,299.55,-3.7143,-18.827
0.65,603.64,14.644,81.882,305.57,-3.9058,-19.462
0.66,603.7,15.478,84.968,311.61,-4.1036,-20.107
0.67,601.91,16.343,88.114,317.64,-4.308,-20.762
0.68,598.45,17.241,91.32,323.64,-4.5189,-21.428
0.69,593.72,18.17,94.587,329.6,-4.7366,-22.103
0.7,588.22,19.133,97.912,335.51,-4.961,-22.789
0.71,582.5,20.129,101.3,341.37,-5.1924,-23.485
0.72,577.09,21.159,104.74,347.16,-5.4308,-24.19
0.73,572.44,22.224,108.24,352.91,-5.6762,-24.906
0.74,568.9,23.324,111.8,358.62,-5.9289,-25.632
0.75,566.63,24.46,115.41,364.3,-6.1889,-26.368
0.76,565.72,25.632,119.08,369.96,-6.4564,-27.114
0.77,566.21,26.842,122.81,375.62,-6.7313,-27.87
0.78,568.06,28.089,126.6,381.29,-7.0138,-28.637
0.79,571.17,29.374,130.44,386.98,-7.3041,-29.413
0.8,575.37,30.698,134.34,392.72,-7.6021,-30.2
0.81,580.21,32.061,138.29,398.49,-7.9081,-30.996
0.82,585.35,33.464,142.31,404.32,-8.2221,-31.803
0.83,590.52,34.908,146.38,410.2,-8.5442,-32.62
0.84,595.37,36.392,150.51,416.13,-8.8745,-33.446
0.85,599.61,37.918,154.7,422.11,-9.2132,-34.283
0.86,603,39.486,158.95,428.12,-9.5603,-35.131
0.87,605.34,41.097,163.26,434.16,-9.9159,-35.988
0.88,606.58,42.752,167.64,440.22,-10.28,-36.855
0.89,606.77,44.45,172.07,446.29,-10.653,-37.733
0.9,606.03,46.194,176.56,452.35,-11.035,-38.62
0.91,604.52,47.982,181.11,458.4,-11.425,-39.518
0.92,602.54,49.816,185.73,464.44,-11.825,-40.426
0.93,600.41,51.697,190.4,470.45,-12.234,-41.344
0.94,598.27,53.624,195.14,476.45,-12.652,-42.272
0.95,596.3,55.6,199.93,482.42,-13.08,-43.211
0.96,594.8,57.623,204.79,488.38,-13.516,-44.16
0.97,593.89,59.696,209.7,494.32,-13.963,-45.118
0.98,593.63,61.818,214.67,500.26,-14.419,-46.087
0.99,594.14,63.99,219.7,506.2,-14.885,-47.067
1,595.37,66.212,224.8,512.14,-15.36,-48.056
1.01,597.11,68.486,229.95,518.11,-15.846,-49.055
1.02,599.26,70.811,235.16,524.09,-16.341,-50.065
1.03,601.64,73.189,240.43,530.09,-16.847,-51.085
1.04,604.1,75.62,245.76,536.12,-17.363,-52.115
1.05,606.5,78.105,251.15,542.17,-17.889,-53.155
1.06,608.78,80.644,256.6,548.25,-18.426,-54.206
1.07,610.74,83.237,262.12,554.35,-18.974,-55.266
1.08,612.2,85.886,267.69,560.46,-19.532,-56.337
1.09,613.15,88.591,273.33,566.59,-20.1,-57.418
1.1,613.6,91.353,279.02,572.72,-20.68,-58.509
1.11,613.56,94.172,284.78,578.86,-21.271,-59.61
1.12,613.12,97.049,290.6,584.99,-21.872,-60.721
1.13,612.35,99.984,296.48,591.12,-22.485,-61.843
1.14,611.37,102.98,302.42,597.24,-23.109,-62.974
1.15,610.29,106.03,308.43,603.35,-23.745,-64.116
1.16,609.24,109.15,314.49,609.44,-24.392,-65.268
1.17,608.25,112.32,320.61,615.53,-25.05,-66.43
1.18,607.36,115.56,326.8,621.61,-25.72,-67.602
1.19,606.72,118.86,333.05,627.68,-26.402,-68.785
1.2,606.35,122.22,339.35,633.75,-27.096,-69.977
1.21,606.2,125.65,345.72,639.81,-27.802,-71.18
1.22,606.28,129.14,352.15,645.87,-28.52,-72.392
1.23,606.6,132.69,358.64,651.93,-29.25,-73.615
1.24,607.14,136.31,365.19,658,-29.992,-74.848
1.25,607.86,139.99,371.8,664.08,-30.747,-76.091
1.26,608.73,143.75,378.47,670.16,-31.514,-77.344
1.27,609.67,147.56,385.2,676.25,-32.294,-78.607
1.28,610.65,151.45,392,682.36,-33.086,-79.88
1.29,611.59,155.4,398.85,688.47,-33.891,-81.164
1.3,612.45,159.43,405.76,694.59,-34.709,-82.457
1.31,613.19,163.52,412.74,700.71,-35.54,-83.761
1.32,613.85,167.68,419.78,706.85,-36.385,-85.075
1.33,614.4,171.92,426.88,712.99,-37.242,-86.399
1.34,614.76,176.22,434.04,719.14,-38.113,-87.733
1.35,614.92,180.6,441.26,725.29,-38.997,-89.077
1.36,614.91,185.05,448.54,731.43,-39.894,-90.431
1.37,614.75,189.57,455.89,737.58,-40.805,-91.795
1.38,614.48,194.16,463.3,743.73,-41.73,-93.17
1.39,614.23,198.83,470.76,749.87,-42.669,-94.555
1.4,614.02,203.58,478.29,756.01,-43.621,-95.949
1.41,613.78,208.4,485.88,762.15,-44.588,-97.354
1.42,613.52,213.3,493.54,768.29,-45.568,-98.769
1.43,613.33,218.27,501.25,774.42,-46.563,-100.19
1.44,613.24,223.32,509.03,780.56,-47.572,-101.63
1.45,613.25,228.45,516.86,786.69,-48.596,-103.07
1.46,613.38,233.66,524.76,792.82,-49.634,-104.53
1.47,613.62,238.95,532.72,798.96,-50.687,-106
1.48,613.95,244.32,540.74,805.09,-51.754,-107.47
1.49,614.38,249.76,548.82,811.24,-52.836,-108.96
1.5,614.97,255.29,556.96,817.38,-53.933,-110.45
1.51,615.67,260.9,565.17,823.54,-55.045,-111.96
1.52,616.42,266.6,573.43,829.7,-56.172,-113.47
1.53,617.18,272.37,581.76,835.87,-57.315,-115
1.54,617.8,278.23,590.15,842.04,-58.472,-116.54
1.55,618.27,284.17,598.6,848.22,-59.645,-118.08
1.56,618.56,290.2,607.12,854.4,-60.834,-119.64
1.57,618.67,296.32,615.69,860.59,-62.038,-121.21
1.58,618.67,302.52,624.33,866.78,-63.258,-122.78
1.59,618.67,308.8,633.03,872.96,-64.494,-124.37
1.6,618.64,315.18,641.79,879.15,-65.746,-125.97
1.61,618.5,321.64,650.61,885.34,-67.014,-127.58
1.62,618.36,328.19,659.49,891.52,-68.297,-129.19
1.63,618.34,334.83,668.44,897.7,-69.597,-130.82
1.64,618.34,341.56,677.45,903.89,-70.914,-132.46
1.65,618.37,348.38,686.52,910.07,-72.247,-134.11
1.66,618.55,355.29,695.65,916.26,-73.596,-135.76
1.67,618.76,362.29,704.84,922.44,-74.962,-137.43
1.68,618.97,369.39,714.1,928.63,-76.345,-139.11
1.69,619.25,376.58,723.41,934.82,-77.744,-140.8
1.7,619.52,383.86,732.79,941.02,-79.161,-142.5
1.71,619.75,391.23,742.24,947.21,-80.594,-144.21
1.72,620.03,398.7,751.74,953.41,-82.045,-145.93
1.73,620.35,406.27,761.3,959.61,-83.513,-147.66
1.74,620.6,413.93,770.93,965.82,-84.998,-149.39
1.75,620.75,421.69,780.62,972.02,-86.501,-151.14
1.76,620.79,429.54,790.37,978.23,-88.021,-152.9
1.77,620.69,437.49,800.18,984.44,-89.559,-154.67
1.78,620.56,445.54,810.06,990.65,-91.115,-156.45
1.79,620.49,453.69,820,996.85,-92.688,-158.24
1.8,620.39,461.94,830,1003.1,-94.279,-160.04
1.81,620.21,470.3,840.06,1009.3,-95.889,-161.85
1.82,619.99,478.75,850.18,1015.5,-97.517,-163.67
1.83,619.72,487.3,860.37,1021.7,-99.162,-165.5
1.84,619.43,495.95,870.62,1027.9,-100.83,-167.34
1.85,619.22,504.71,880.92,1034,-102.51,-169.19
1.86,619.08,513.57,891.3,1040.2,-104.21,-171.05
1.87,618.89,522.54,901.73,1046.4,-105.93,-172.92
1.88,618.69,531.61,912.22,1052.6,-107.67,-174.81
1.89,618.55,540.78,922.78,1058.8,-109.43,-176.7
1.9,618.41,550.06,933.4,1065,-111.2,-178.6
1.91,618.32,559.45,944.08,1071.2,-113,-180.51
1.92,618.37,568.95,954.82,1077.4,-114.81,-182.43
1.93,618.52,578.55,965.63,1083.5,-116.65,-184.36
1.94,618.77,588.26,976.5,1089.7,-118.5,-186.3
1.95,619.1,598.08,987.42,1095.9,-120.37,-188.25
1.96,619.5,608.01,998.41,1102.1,-122.27,-190.22
1.97,619.94,618.05,1009.5,1108.3,-124.18,-192.19
1.98,620.49,628.2,1020.6,1114.5,-126.11,-194.17
1.99,621.14,638.46,1031.8,1120.7,-128.06,-196.16
2,621.76,648.83,1043,1126.9,-130.03,-198.16
2.01,622.25,659.32,1054.3,1133.1,-132.02,-200.18
2.02,622.58,669.92,1065.7,1139.4,-134.04,-202.2
2.03,622.75,680.63,1077.1,1145.6,-136.07,-204.23
2.04,622.75,691.46,1088.6,1151.8,-138.12,-206.27
2.05,622.7,702.4,1100.1,1158.1,-140.19,-208.33
2.06,622.6,713.46,1111.7,1164.3,-142.29,-210.39
2.07,622.38,724.64,1123.4,1170.5,-144.4,-212.46
2.08,622.14,735.93,1135.1,1176.7,-146.54,-214.54
2.09,621.95,747.34,1146.9,1182.9,-148.69,-216.64
2.1,621.76,758.87,1158.8,1189.2,-150.87,-218.74
2.11,621.74,770.52,1170.7,1195.4,-153.07,-220.85
2.12,621.94,782.29,1182.7,1201.6,-155.29,-222.98
2.13,622.17,794.17,1194.8,1207.8,-157.53,-225.11
2.14,622.31,806.18,1206.9,1214,-159.79,-227.26
2.15,622.4,818.31,1219,1220.3,-162.07,-229.41
2.16,622.43,830.56,1231.3,1226.5,-164.38,-231.57
2.17,622.39,842.94,1243.6,1232.7,-166.7,-233.75
2.18,622.38,855.43,1255.9,1238.9,-169.05,-235.93
2.19,622.45,868.05,1268.3,1245.2,-171.42,-238.13
2.2,622.48,880.8,1280.8,1251.4,-173.81,-240.33
2.21,622.53,893.67,1293.4,1257.6,-176.23,-242.55
2.22,622.63,906.67,1306,1263.8,-178.67,-244.77
2.23,622.68,919.79,1318.6,1270.1,-181.12,-247.01
2.24,622.74,933.04,1331.4,1276.3,-183.61,-249.25
2.25,622.91,946.42,1344.2,1282.5,-186.11,-251.51
2.26,623.07,959.93,1357,1288.8,-188.64,-253.77
2.27,623.14,973.56,1369.9,1295,-191.19,-256.05
2.28,623.22,987.32,1382.9,1301.2,-193.76,-258.34
2.29,623.27,1001.2,1396,1307.4,-196.35,-260.63
2.3,623.25,1015.2,1409.1,1313.7,-198.97,-262.94
2.31,623.24,1029.4,1422.2,1319.9,-201.61,-265.26
2.32,623.26,1043.7,1435.5,1326.1,-204.28,-267.58
2.33,623.21,1058.1,1448.8,1332.4,-206.96,-269.92
2.34,623.16,1072.7,1462.1,1338.6,-209.67,-272.26
2.35,623.12,1087.4,1475.5,1344.8,-212.41,-274.62
2.36,623,1102.2,1489,1351.1,-215.17,-276.99
2.37,622.83,1117.1,1502.6,1357.3,-217.95,-279.37
2.38,622.74,1132.2,1516.2,1363.5,-220.75,-281.75
2.39,622.7,1147.5,1529.8,1369.8,-223.58,-284.15
2.4,622.56,1162.8,1543.6,1376,-226.44,-286.56
2.41,622.33,1178.3,1557.4,1382.2,-229.31,-288.97
2.42,622.11,1194,1571.2,1388.4,-232.22,-291.4
2.43,621.92,1209.8,1585.1,1394.7,-235.14,-293.84
2.44,621.85,1225.7,1599.1,1400.9,-238.09,-296.29
2.45,621.93,1241.7,1613.1,1407.1,-241.07,-298.75
2.46,622,1257.9,1627.2,1413.3,-244.07,-301.21
2.47,622.03,1274.3,1641.4,1419.5,-247.09,-303.69
2.48,622.09,1290.8,1655.6,1425.7,-250.14,-306.18
2.49,622.16,1307.4,1669.9,1432,-253.22,-308.68
2.5,622.24,1324.2,1684.3,1438.2,-256.32,-311.19
2.51,622.32,1341.1,1698.7,1444.4,-259.44,-313.71
2.52,622.4,1358.1,1713.2,1450.6,-262.59,-316.23
2.53,622.42,1375.3,1727.7,1456.9,-265.76,-318.77
2.54,622.4,1392.7,1742.3,1463.1,-268.97,-321.32
2.55,622.37,1410.2,1757,1469.3,-272.19,-323.88
2.56,622.31,1427.8,1771.7,1475.5,-275.44,-326.45
2.57,622.32,1445.6,1786.5,1481.8,-278.72,-329.03
2.58,622.43,1463.6,1801.3,1488,-282.02,-331.62
2.59,622.53,1481.7,1816.2,1494.2,-285.35,-334.22
2.6,622.63,1499.9,1831.2,1500.4,-288.71,-336.83
2.61,622.7,1518.3,1846.2,1506.7,-292.09,-339.45
2.62,622.76,1536.8,1861.3,1512.9,-295.5,-342.08
2.63,622.75,1555.5,1876.5,1519.1,-298.93,-344.72
2.64,622.67,1574.3,1891.7,1525.3,-302.39,-347.37
2.65,622.59,1593.3,1907,1531.6,-305.88,-350.03
2.66,622.47,1612.5,1922.3,1537.8,-309.39,-352.7
2.67,622.34,1631.8,1937.8,1544,-312.93,-355.38
2.68,622.22,1651.2,1953.2,1550.2,-316.5,-358.07
2.69,622.11,1670.8,1968.8,1556.5,-320.09,-360.77
2.7,622.05,1690.6,1984.4,1562.7,-323.72,-363.48
2.71,622.09,1710.5,2000,1568.9,-327.36,-366.2
2.72,622.07,1730.6,2015.7,1575.1,-331.04,-368.93
2.73,621.98,1750.9,2031.5,1581.3,-334.74,-371.67
2.74,621.9,1771.2,2047.4,1587.6,-338.47,-374.42
2.75,621.78,1791.8,2063.3,1593.8,-342.23,-377.18
2.76,621.55,1812.5,2079.2,1600,-346.02,-379.96
2.77,621.31,1833.4,2095.3,1606.2,-349.83,-382.74
2.78,621.1,1854.4,2111.4,1612.4,-353.67,-385.53
2.79,620.82,1875.6,2127.5,1618.6,-357.54,-388.33
2.8,620.51,1897,2143.7,1624.8,-361.44,-391.14
2.81,620.18,1918.5,2160,1631,-365.36,-393.96
2.82,619.87,1940.2,2176.4,1637.2,-369.32,-396.79
2.83,619.66,1962,2192.8,1643.4,-373.3,-399.63
2.84,619.64,1984,2209.2,1649.6,-377.31,-402.49
2.85,619.74,2006.2,2225.8,1655.8,-381.35,-405.35
2.86,619.87,2028.5,2242.3,1662,-385.42,-408.22
2.87,620.04,2051,2259,1668.2,-389.51,-411.1
2.88,620.25,2073.7,2275.7,1674.4,-393.64,-413.99
2.89,620.5,2096.6,2292.5,1680.6,-397.79,-416.9
2.9,620.88,2119.6,2309.3,1686.8,-401.98,-419.81
2.91,621.33,2142.7,2326.2,1693.1,-406.19,-422.73
2.92,621.73,2166.1,2343.2,1699.3,-410.43,-425.66
2.93,621.97,2189.6,2360.2,1705.5,-414.7,-428.6
2.94,622.14,2213.3,2377.3,1711.7,-419,-431.56
2.95,622.33,2237.2,2394.4,1717.9,-423.33,-434.52
2.96,622.53,2261.2,2411.6,1724.2,-427.69,-437.49
2.97,622.8,2285.4,2428.9,1730.4,-432.08,-440.48
2.98,623.11,2309.8,2446.3,1736.6,-436.5,-443.47
2.99,623.34,2334.3,2463.7,1742.8,-440.95,-446.47
3,623.47,2359,2481.1,1749.1,-445.43,-449.49
